74,352
92,365
108,375
134,391
167,411
204,434
231,455
260,474
274,484
287,485
299,484
309,475
317,463
326,447
332,430
341,412
353,393
362,375
374,355
389,330
402,308
417,287
427,269
436,261
447,255
460,255
473,255
484,260
498,265
512,273
526,280
541,288
558,299
576,307
596,318
615,328
632,337
649,347
658,353
666,364
670,378
671,393
663,407
656,423
647,439
637,456
630,465
616,495
601,518
584,549
568,574
554,597
548,617
549,633
556,655
574,670
597,681
623,698
657,722
680,736
702,751
727,767
747,778
768,785
785,785
804,778
818,766
832,748
839,733
849,715
861,696
877,681
888,663
903,642
917,619
926,603
944,580
958,562
967,544
976,520
979,502
983,477
987,458
994,436
1001,418
1008,396
1020,380
1030,366
1046,343
1053,329
1058,304
1049,284
1036,267
1010,260
991,263
971,271
956,283
943,290
917,295
891,296
864,297
839,294
815,292
792,288
764,283
724,276
687,266
647,253
610,237
581,223
556,208
527,189
496,171
468,156
441,137
415,124
384,104
352,84
326,71
294,54
270,41
248,28
231,24
217,26
197,35
187,48
181,61
171,80
157,102
137,135
124,155
110,180
99,202
85,228
71,252
55,278
44,297
37,315
44,333
60,346
